TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056,LOC_PID,NSW_LOCA_2,LGA_NAME16_2,Split_id,merge_id,Pop_2016,Pop_BuildO,LGA_CODE16_2,TZ16_CODE_2,Precinct_2,Sub-precin_2,Area,layer,path
"433",Botany Bay (C),"11100",OutWSPP,OutWSPP,"9553","13152",,,Botany Bay (C),,,"31","61","11100","433",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"434",Rockdale (C),"16650",OutWSPP,OutWSPP,"8479","11674",,,Botany Bay (C),,,"31","61","11100","433",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"500",Waverley (A),"18050",OutWSPP,OutWSPP,"322","528",,,Waverley (A),,,"2127","2628","18050","500",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"501",Waverley (A),"18050",OutWSPP,OutWSPP,"785","1200",,,Waverley (A),,,"4127","5928","18050","501",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"502",Waverley (A),"18050",OutWSPP,OutWSPP,"710","1032",,,Waverley (A),,,"2869","4036","18050","502",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"503",Waverley (A),"18050",OutWSPP,OutWSPP,"543","829",,,Waverley (A),,,"3142","3927","18050","503",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"504",Waverley (A),"18050",OutWSPP,OutWSPP,"622","993",,,Waverley (A),,,"3657","4569","18050","504",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"505",Waverley (A),"18050",OutWSPP,OutWSPP,"855","1318",,,Waverley (A),,,"3735","4654","18050","505",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"508",Waverley (A),"18050",OutWSPP,OutWSPP,"687","1055",,,Waverley (A),,,"4143","5107","18050","508",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"509",Waverley (A),"18050",OutWSPP,OutWSPP,"450","693",,,Waverley (A),,,"3027","3711","18050","509",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
